state,county,source_id,source_name,category,acquisition_mechanism,adapter_implemented,discovery_status,verification_status,technical_status,technical_testing_permitted,authorization_status,production_status,records_observed_at_source,records_seen,records_acquired,coverage_percentage,last_success,failure_reason,notes
FL,Alachua,fl_realauction,Florida RealAuction/RealForeclose county sites,AUCTION|AUCTION_DATE|OPENING_BID|CASE_NUMBER,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,LEGAL_REVIEW_REQUIRED,NOT_ENABLED,,0,0,,,LEGAL_REVIEW_REQUIRED,
FL,Alachua,fl_lienhub_certificates,LienHub tax certificate sales,TAX_CERTIFICATE|ASSESSED_VALUE|OWNERSHIP,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Alachua,fl_laft_pdfs,Florida Lands Available for Taxes (LAFT) - per-county PDF lists,TAX_SALE|PARCEL_APN|LEGAL_DESCRIPTION,DOCUMENT_PDF,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,APPROVED,ENABLED,,0,0,,,,
FL,Alachua,fl_dor_statewide,"Florida Department of Revenue Property Tax Data Portal (statewide NAL/NAP assessment rolls, sales files, GIS)",ASSESSMENT|JUST_VALUE|SALES_HISTORY|GIS,ARCGIS_REST,YES,DISCOVERED,MECHANISM_CONFIRMED,TECHNICAL_ACQUISITION_READY,YES,LEGAL_REVIEW_REQUIRED,NOT_ENABLED,,0,0,,,LEGAL_REVIEW_REQUIRED,
FL,Baker,fl_realauction,Florida RealAuction/RealForeclose county sites,AUCTION|AUCTION_DATE|OPENING_BID|CASE_NUMBER,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Baker,fl_lienhub_certificates,LienHub tax certificate sales,TAX_CERTIFICATE|ASSESSED_VALUE|OWNERSHIP,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Baker,fl_dor_statewide,"Florida Department of Revenue Property Tax Data Portal (statewide NAL/NAP assessment rolls, sales files, GIS)",ASSESSMENT|JUST_VALUE|SALES_HISTORY|GIS,ARCGIS_REST,YES,DISCOVERED,MECHANISM_CONFIRMED,TECHNICAL_ACQUISITION_READY,YES,LEGAL_REVIEW_REQUIRED,NOT_ENABLED,,0,0,,,LEGAL_REVIEW_REQUIRED,
FL,Bay,fl_realauction,Florida RealAuction/RealForeclose county sites,AUCTION|AUCTION_DATE|OPENING_BID|CASE_NUMBER,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Bay,fl_lienhub_certificates,LienHub tax certificate sales,TAX_CERTIFICATE|ASSESSED_VALUE|OWNERSHIP,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Bay,fl_laft_pdfs,Florida Lands Available for Taxes (LAFT) - per-county PDF lists,TAX_SALE|PARCEL_APN|LEGAL_DESCRIPTION,DOCUMENT_PDF,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,APPROVED,ENABLED,,0,0,,,,
