state,county,source_id_or_label,category,in_source_registry,discovered,verification_status,technical_acquisition_status,authorization_status_for_customer_display,production_enabled_for_customer_display,evidence_reference
FL,Alachua,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,LEGAL_REVIEW_REQUIRED,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Alachua,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,Alachua,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Alachua,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Alachua,UNKNOWN,property_appraisal,NO,YES,UNVERIFIED,NOT_ACQUIRED,UNKNOWN,NO,data/fl_county_coverage_matrix.csv
FL,Baker,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Baker,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,Baker,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Baker,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Baker,UNKNOWN,property_appraisal,NO,YES,UNVERIFIED,NOT_ACQUIRED,UNKNOWN,NO,data/fl_county_coverage_matrix.csv
FL,Bay,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Bay,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,Bay,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Bay,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Bay,UNKNOWN,property_appraisal,NO,YES,UNVERIFIED,NOT_ACQUIRED,UNKNOWN,NO,data/fl_county_coverage_matrix.csv
FL,Bradford,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Bradford,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,Bradford,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Bradford,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Bradford,UNKNOWN,property_appraisal,NO,YES,UNVERIFIED,NOT_ACQUIRED,UNKNOWN,NO,data/fl_county_coverage_matrix.csv
FL,Brevard,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Brevard,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,Brevard,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Brevard,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Brevard,Brevard County Property Appraiser,property_appraisal,NO,YES,MECHANISM_CONFIRMED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Broward,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Broward,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,Broward,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Broward,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Broward,Broward County Property Appraiser,property_appraisal,NO,YES,MECHANISM_CONFIRMED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Calhoun,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Calhoun,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,Calhoun,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Calhoun,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Calhoun,UNKNOWN,property_appraisal,NO,YES,UNVERIFIED,NOT_ACQUIRED,UNKNOWN,NO,data/fl_county_coverage_matrix.csv
FL,Charlotte,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Charlotte,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,Charlotte,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Charlotte,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Charlotte,UNKNOWN,property_appraisal,NO,YES,UNVERIFIED,NOT_ACQUIRED,UNKNOWN,NO,data/fl_county_coverage_matrix.csv
FL,Citrus,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Citrus,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,Citrus,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Citrus,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Citrus,UNKNOWN,property_appraisal,NO,YES,UNVERIFIED,NOT_ACQUIRED,UNKNOWN,NO,data/fl_county_coverage_matrix.csv
FL,Clay,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Clay,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
