County,Platform,CertSaleWebsite
Alachua,LienHub,lienhub.com/county/alachua/certsale/main
Baker,TaxCertSale,www.taxcertsale.com/bakertaxsale
Bay,LienHub,lienhub.com/county/bay/certsale/main
Bradford,TaxCertSale,www.taxcertsale.com/BradfordTaxSale
Brevard,LienHub,lienhub.com/county/brevard/certsale/main
Broward,LienHub,lienhub.com/county/broward/certsale/main
Calhoun,TaxCertSale,www.taxcertsale.com/CalhounTaxSale
Charlotte,LienHub,lienhub.com/county/charlotte/certsale/main
Citrus,LienHub,lienhub.com/county/citrus/certsale/main
Clay,LienHub,lienhub.com/county/clay/certsale/main
Collier,LienHub,lienhub.com/county/collier/certsale/main
Columbia,RealTaxLien,columbiafl.realtaxlien.com
Desoto,TaxCertSale,www.taxcertsale.com/DesotoTaxSale
Dixie,RealTaxLien,dixiefl.realtaxlien.com
Duval,LienHub,lienhub.com/county/duval/certsale/main
Escambia,LienHub,lienhub.com/county/escambia/certsale/main
Flagler,LienHub,lienhub.com/county/flagler/certsale/main
Franklin,TaxCertSale,www.taxcertsale.com/FranklinTaxSale
Gadsden,RealTaxLien,gadsdenfl.realtaxlien.com
Gilchrist,RealTaxLien,gilchristfl.realtaxlien.com
Glades,TaxCertSale,www.taxcertsale.com/GladesTaxSale
Gulf,TaxCertSale,www.taxcertsale.com/GulfTaxSale
Hamilton,TaxCertSale,www.taxcertsale.com/HamiltonTaxSale
Hardee,TaxCertSale,www.taxcertsale.com/HardeeTaxSale
Hendry,RealTaxLien,hendryfl.realtaxlien.com
Hernando,LienHub,lienhub.com/county/hernando/certsale/main
Highlands,Other/bespoke,auction.highlands.tax
Hillsborough,LienHub,lienhub.com/county/hillsborough/certsale/main
Holmes,TaxCertSale,www.taxcertsale.com/HolmesTaxSale
Indian River,LienHub,lienhub.com/county/indianriver/certsale/main
Jackson,TaxCertSale,www.taxcertsale.com/JacksonTaxSale
Jefferson,TaxCertSale,www.taxcertsale.com/JeffersonTaxSale
Lafayette,RealTaxLien,www.lafayettefl.realtaxlien.com
Lake,LienHub,lienhub.com/county/lake/certsale/main
Lee,LienHub,lienhub.com/county/lee/certsale/main
Leon,WFBSUSA,leontaxsale.wfbsusa.com
Levy,WFBSUSA,levytaxsale.wfbsusa.com
Liberty,TaxCertSale,www.taxcertsale.com/LibertyTaxSale
Madison,TaxCertSale,www.taxcertsale.com/MadisonTaxSale
Manatee,Other/bespoke,www.pacificblueauction.com
Marion,WFBSUSA,mariontaxsale.wfbsusa.com
Martin,LienHub,lienhub.com/county/martin/certsale/main
Miami-Dade,LienHub,lienhub.com/county/miamidade/certsale/main
Monroe,LienHub,lienhub.com/county/monroe/certsale/main
Nassau,LienHub,lienhub.com/county/nassau/certsale/main
Okaloosa,LienHub,lienhub.com/county/okaloosa/certsale/main
Okeechobee,TaxCertSale,www.taxcertsale.com/OkeechobeeTaxSale
Orange,LienHub,lienhub.com/county/orange/certsale/main
Osceola,LienHub,lienhub.com/county/osceola/certsale/main
Palm Beach,RealTaxLien,palmbeachfl.realtaxlien.com
Pasco,LienHub,lienhub.com/county/pasco/certsale/main
Pinellas,LienHub,lienhub.com/county/pinellas/certsale/main
Polk,RealTaxLien,polkfl.realtaxlien.com
Putnam,RealTaxLien,putnamfl.realtaxlien.com
Santa Rosa,LienHub,lienhub.com/county/santarosa/certsale/main
Sarasota,LienHub,lienhub.com
Seminole,LienHub,lienhub.com/county/seminole/certsale/main
St. Johns,Other/bespoke,sjctax.us/tax-certificate-sales/
St. Lucie,LienHub,lienhub.com/county/stlucie/certsale/main
Sumter,LienHub,lienhub.com/county/sumter/certsale/main
Suwannee,RealTaxLien,suwanneefl.realtaxlien.com
Taylor,RealTaxLien,taylorfl.realtaxlien.com
Union,In-person (no online platform),"55 W Main Street Lake Butler, FL 32054 (in-person, no online sale)"
Volusia,LienHub,lienhub.com/county/volusia/certsale/main
Wakulla,TaxCertSale,www.taxcertsale.com/WakullaTaxSale
Walton,LienHub,lienhub.com/county/walton/certsale/main
Washington,TaxCertSale,www.taxcertsale.com/WashingtonTaxSale
