County,Url,SourcePage,Notes
Manatee,https://www.manateeclerk.com/departments/tax-deeds/lands-available-for-taxes/,https://www.manateeclerk.com/departments/tax-deeds/lands-available-for-taxes/,Confirmed live 2026-08 - real static HTML table (Case Number / Date/Owner(s)/Parcel ID/Auction Date/Escheatment Date/Amount to Purchase) but currently 0 rows
Escambia,https://public.escambiaclerk.com/taxsale/landsavailable.asp,https://public.escambiaclerk.com/taxsale/landsavailable.asp,Confirmed live 2026-08 with 1 real property. Old nested-table ASP page (6+ decorative tables before the real one) - header View Images/Clerk's FileNumber/Account/Certificate Number/Reference/Sales Date/Opening Bid Amount/Legal Description
Leon,https://lforms.leonclerk.com/tax_deeds/lands-available.html,https://leonclerk.com/divisions/property-sales/tax-deeds/lands-available/,Confirmed live 2026-08 - currently 0 rows. The public leonclerk.com page is just a wrapper; the real table is served from this lforms.leonclerk.com iframe src, which is what must be fetched directly
Indian River,https://indianriverclerk.com/land-available-for-taxes/,https://indianriverclerk.com/land-available-for-taxes/,Confirmed live 2026-08 with 2 real properties. Page explicitly warns listed price is stale - see NOTES_BY_COUNTY in harvest_laft_html.py
Putnam,https://apps.putnam-fl.com/coc/taxdeeds/public/public_LAFT.php,https://apps.putnam-fl.com/coc/taxdeeds/public/public_LAFT.php,"Confirmed live 2026-08 with ~38 real properties - the biggest single find of the 2026-08 pass. NOT a normal column table - two rows per property (T.D. <case>/owner, then a 3-cell detail row with legal desc+parcel+dates+price crammed together). Needs the _rows_from_card_table fallback in harvest_laft_html.py, not the generic header scan."
Sumter,https://www.sumterclerk.com/public-records/tax-deeds/land-available-for-taxes/,https://www.sumterclerk.com/public-records/tax-deeds/land-available-for-taxes/,"Confirmed live 2026-08 - currently 0 rows AND zero <table> elements on the page at all (unlike Manatee/Leon which keep an empty table). Referenced in harvest_laft_pdfs.py's original docstring as ""checked, publishes as HTML"" from an earlier session but never built until now. Structurally unverified once populated - flagged for a spot-check the next time this county actually lists something."
Madison,https://www.madisonclerk.com/list-of-lands-available-for-taxes/,https://www.madisonclerk.com/list-of-lands-available-for-taxes/,"Confirmed live 2026-08 - native page (not PDF/portal), currently 0 properties. Page's own disclaimer text (""amounts listed are no longer the opening bid"") matches the wording other counties use right above a real table, but structure when populated is unverified - spot-check once it lists something."
Calhoun,https://calhounclerk.com/court-services/property-sales/list-of-lands-available/,https://calhounclerk.com/court-services/property-sales/list-of-lands-available/,Confirmed live 2026-08 - native page (not PDF/portal) currently reporting 0 properties as plain text. Table structure when populated is unverified.
Columbia,https://columbiaclerk.com/land-available-for-taxes/,https://columbiaclerk.com/land-available-for-taxes/,Confirmed live 2026-08 - native page (not PDF/portal) currently reporting 0 properties as plain text. Table structure when populated is unverified.
Dixie,https://dixieclerk.com/departments-services/court-services/lands-available-for-taxes/,https://dixieclerk.com/departments-services/court-services/lands-available-for-taxes/,Confirmed live 2026-08 - native LOLA page (not PDF/portal) currently reporting 0 properties as plain text. Table structure when populated is unverified.
Franklin,https://www.franklinclerk.com/clerk-services/lands-available/,https://www.franklinclerk.com/clerk-services/lands-available/,Confirmed live 2026-08 - native page (not PDF/portal) currently reporting 0 properties as plain text. Table structure when populated is unverified.
Gulf,https://www.gulfclerk.com/courts/tax-deeds/,https://www.gulfclerk.com/courts/tax-deeds/,"Confirmed live 2026-08 - single page covers tax deed sales, surplus funds, AND lands available; currently states ""Gulf County Does Not Have Any Property On The List of Lands."" Native page, not PDF/portal. Table structure when populated is unverified - if this ever starts returning the wrong program's rows, split it out."
Hamilton,https://hamiltonclerk.com/list-of-lands-available-for-taxes/,https://hamiltonclerk.com/list-of-lands-available-for-taxes/,Confirmed live 2026-08 - native page (not PDF/portal) currently reporting 0 properties as plain text. Table structure when populated is unverified.
Hardee,https://www.hardeeclerk.com/departments/tax-deeds/lands-available/,https://www.hardeeclerk.com/departments/tax-deeds/lands-available/,Confirmed live 2026-08 - native page (not PDF/portal) currently reporting 0 properties as plain text. Table structure when populated is unverified.
Holmes,https://holmesclerk.com/courts/foreclosures-tax-deeds/lands-available-for-taxes/,https://holmesclerk.com/courts/foreclosures-tax-deeds/lands-available-for-taxes/,"Confirmed live 2026-08 - native page (not PDF/portal), currently ""UPDATED FEBRUARY 2026 - THERE ARE NO LOLA FILES AT THIS TIME."" Table structure when populated is unverified."
Lafayette,https://www.lafayetteclerk.com/tax-deeds/,https://www.lafayetteclerk.com/tax-deeds/,Confirmed live 2026-08 - native page (not PDF/portal) currently reporting 0 properties as plain text with no table markup detected even in the empty state. Table structure when populated is unverified - lowest confidence of this batch.
Taylor,https://taylorclerk.com/departments/list-of-lands-available/,https://taylorclerk.com/departments/list-of-lands-available/,Confirmed live 2026-08 - native page (not PDF/portal) currently reporting 0 properties as plain text. Table structure when populated is unverified.
Union,https://unionclerk.com/departments-services/clerk-services/list-of-lands-available/,https://unionclerk.com/departments-services/clerk-services/list-of-lands-available/,Confirmed live 2026-08 (intermittent 403s on repeat fetch - site may have light bot protection) - native page currently reporting 0 properties as plain text. Table structure when populated is unverified.
