source_id,provider,government_entity,state,county,source_url,terms_url,license_url,access_method,automated_access_status,commercial_use_status,customer_display_status,redistribution_status,export_status,api_redistribution_status,derived_data_status,caching_status,raw_storage_status,image_rights,document_rights,attribution_required,retention_requirements,privacy_notes,legal_basis,legal_status,approval_notes,evidence_reference,reviewed_at
fl_lienhub_certificates__provider__grant_street_group,Grant Street Group,Participating Florida Tax Collectors,FL,UNKNOWN,lienhub.com,https://lienhub.com/doc/terms,UNKNOWN,LICENSED_VENDOR,NO (explicit prohibition in supplied User Agreement: robots/spiders/similar automated devices to monitor or copy pages/content/information are EXPRESSLY PROHIBITED),LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,NO (copying/saving/publishing/disseminating/distributing/reselling/redistributing proprietary information restricted except where expressly permitted),LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,UNKNOWN,UNKNOWN,UNKNOWN,Not addressed beyond a narrow internal-recordkeeping exception for transaction evidence,UNKNOWN,"Supplied LienHub User Agreement (transcribed Phase 34A; re-verification attempt this phase against https://lienhub.com/doc/terms returned HTTP 403 - access-controlled, consistent with Phase 33.5's WAF/bot-block finding)",LEGAL_REVIEW_REQUIRED,Explicit automated-access prohibition found. No written exception has been sought or received. Status intentionally NOT upgraded or downgraded - matches Phase 34A/34B exactly.,claude/phase-34a-provider-authorization-framework.md (supplied agreement transcription); this phase's own 403 response from lienhub.com/doc/terms,2026-09-15
fl_realauction__county__alachua,"RealAuction.com, LLC",Alachua County Clerk of the Circuit Court,FL,Alachua,alachua.realtaxdeed.com,UNKNOWN,UNKNOWN,LICENSED_VENDOR,"NO (supplied EULA: automated software/program/device access, robots/spiders, prohibited without prior written approval)",LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,NO (information cannot be used/altered/sold/distributed without RealAuction's express written consent),LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Supplied RealAuction Alachua County EULA (transcribed Phase 34A); this phase's own live fetch attempt against the Alachua deployment's EULA page returned ROBOTS_DISALLOWED (robots.txt blocks the path), directly reconfirming Phase 10B's earlier, tool-limited finding",LEGAL_REVIEW_REQUIRED,County-scoped to Alachua only - not generalized to any other RealAuction deployment. Status unchanged.,claude/phase-34a-provider-authorization-framework.md; this phase's own ROBOTS_DISALLOWED result fetching the live Alachua EULA URL,2026-09-15
fl_realauction__county__volusia,"RealAuction.com, LLC",Volusia County Clerk of the Circuit Court and Comptroller,FL,Volusia,volusia.realtaxdeed.com,UNKNOWN,UNKNOWN,LICENSED_VENDOR,NO (same EULA terms as Alachua per Phase 34A transcription - not independently re-fetched this phase),LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,NO (same as Alachua),LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Supplied RealAuction Volusia County EULA (transcribed Phase 34A) - not independently re-fetched this phase; the Alachua robots.txt finding was NOT assumed to apply to Volusia without its own check, and no such check was performed this phase (recorded honestly as not re-verified, not silently generalized)",LEGAL_REVIEW_REQUIRED,County-scoped to Volusia only. Status unchanged. Distinct deployment from Alachua even though same provider/same supplied terms language.,claude/phase-34a-provider-authorization-framework.md,2026-09-15
fl_realauction__county__miami_dade,"RealAuction.com, LLC",Miami-Dade County Clerk of the Circuit Court,FL,Miami-Dade,miami-dade.realtaxdeed.com,UNKNOWN,UNKNOWN,LICENSED_VENDOR,"NO (robots.txt disallows automated fetch of the deployment's own terms/user page - confirmed live this phase, ROBOTS_DISALLOWED)",LEGAL_REVIEW_REQUIRED (county-specific EULA text not independently obtained this phase - only the robots.txt access-control finding was gathered; no written EULA content review performed for this county),LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"This phase's own live fetch attempt against miami-dade.realtaxdeed.com's terms/user page returned ROBOTS_DISALLOWED. No county-specific EULA text was supplied or reviewed for Miami-Dade this phase (unlike Alachua/Volusia, where the EULA text itself was transcribed in Phase 34A) - this row records ONLY the robots.txt finding, not a terms-content finding, and must not be read as equivalent to the Alachua/Volusia rows' evidentiary depth.",LEGAL_REVIEW_REQUIRED,"County-scoped to Miami-Dade only. Added Section 5's requirement to extend the RealAuction review beyond Alachua/Volusia 'where evidence is available' - evidence here is limited to a technical access-control signal, not EULA content, and is recorded as such rather than overstated.","This phase's own ROBOTS_DISALLOWED result fetching miami-dade.realtaxdeed.com's terms/user page, 2026-09-15",2026-09-15
fl_realauction__county__brevard,"RealAuction.com, LLC",Brevard County Clerk of the Circuit Court,FL,Brevard,brevard.realforeclose.com,UNKNOWN,UNKNOWN,LICENSED_VENDOR,"NO (robots.txt disallows automated fetch - confirmed live this phase, ROBOTS_DISALLOWED)",LEGAL_REVIEW_REQUIRED (county-specific EULA text not independently obtained this phase - only the robots.txt access-control finding was gathered),LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"This phase's own live fetch attempt against brevard.realforeclose.com/robots.txt returned ROBOTS_DISALLOWED - notable because Brevard uses the '.realforeclose.com' deployment pattern (distinct from Alachua/Volusia/Miami-Dade's '.realtaxdeed.com' pattern), so this is the first evidence this phase that the robots.txt block is not specific to one RealAuction product line.",LEGAL_REVIEW_REQUIRED,"County-scoped to Brevard only. Same caveat as Miami-Dade: this is a technical access-control finding, not a EULA-content finding.","This phase's own ROBOTS_DISALLOWED result fetching brevard.realforeclose.com/robots.txt, 2026-09-15",2026-09-15
fl_dor_statewide__nal_sdf_nap_gis,Florida Department of Revenue,State of Florida,FL,UNKNOWN,floridarevenue.com/property/Pages/DataPortal.aspx,floridarevenue.com/opengovt/Pages/public_records.aspx,UNKNOWN,OFFICIAL_BULK,"LEGAL_REVIEW_REQUIRED (no terms of use, license, or automated-access statement found on the Data Portal or the assessment-roll-request pages, reviewed live this phase)","LEGAL_REVIEW_REQUIRED (no commercial-use statement found; Ch. 119 Fla. Stat. establishes a right of public-records ACCESS, which is not the same as an affirmative commercial-redistribution license)",LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,"NOT_APPLICABLE (tabular/GIS data product, no images)","NOT_APPLICABLE (tabular/GIS data product, no embedded documents)",UNKNOWN,UNKNOWN,"Confidential fields (SSNs, exempt records) are excluded from public datasets per Florida Statutes, per the Data Portal's own request-process page","Fla. Stat. 119.07(1)/286.011, Art. I Sec. 24 Fla. Const. (public-records access right - NOT a commercial-redistribution license); no separate data-license/terms-of-use document was found for the Data Portal itself",LEGAL_REVIEW_REQUIRED,"Statewide NAL (real property assessment roll), NAP (tangible personal property), SDF (sales), and GIS parcel shapefiles are freely downloadable for all 67 counties, no fee, no registration - genuinely valuable for the property-identity/assessment/sales/GIS category layer. But 'freely downloadable government data' and 'no terms of use stated' is exactly the fact pattern Section 6 says must NOT be read as unrestricted commercial permission. Unchanged from the existing fl_dor_statewide LEGAL_REVIEW_REQUIRED status - this phase substantially enriched the evidence behind that status rather than changing it.","floridarevenue.com/property/Pages/DataPortal.aspx; floridarevenue.com/property/Pages/DataPortal_RequestAssessmentRollGISData.aspx; floridarevenue.com/opengovt/Pages/public_records.aspx (all fetched live this phase, 2026-09-15)",2026-09-15
fl_property_appraiser__county__miami_dade,Miami-Dade County Property Appraiser,"Miami-Dade County, Florida",FL,Miami-Dade,miamidadepa.gov,miamidadepa.gov/pa/disclaimer.page,UNKNOWN,OFFICIAL_PUBLIC_SEARCH,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Broad liability disclaimer ('AS IS WITHOUT WARRANTIES'); 'all rights not expressly granted herein are reserved'; prohibits 'unauthorized access'/interfering with systems; no explicit commercial-use or automated-scraping clause either way.,LEGAL_REVIEW_REQUIRED,No affirmative commercial/automated-access permission found; no upgrade from government-website status alone (Section 7's explicit rule).,miamidadepa.gov/pa/disclaimer.page,2026-09-15
fl_property_appraiser__county__broward,Broward County Property Appraiser,"Broward County, Florida",FL,Broward,bcpa.net,bcpa.net (homepage disclaimer),UNKNOWN,OFFICIAL_PUBLIC_SEARCH,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,'Information provided on this website is for tax roll purposes only and may not be appropriate for other uses.' Explicit purpose-limitation language; no automated-access clause found.,LEGAL_REVIEW_REQUIRED,No affirmative commercial/automated-access permission found; no upgrade from government-website status alone (Section 7's explicit rule).,bcpa.net (homepage disclaimer),2026-09-15
fl_property_appraiser__county__palm_beach,Palm Beach County Property Appraiser,"Palm Beach County, Florida",FL,Palm Beach,pbcpao.gov,"pbcpao.gov (disclaimer page fetch failed, HTTP 500, this phase)",UNKNOWN,OFFICIAL_PUBLIC_SEARCH,DISCOVERED (terms not reviewed this phase),DISCOVERED (terms not reviewed this phase),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Fetch attempt this phase failed (server error) - not independently reviewed; carried at DISCOVERED (mechanism verified Phase 35, terms not reviewed).",DISCOVERED,"Terms of use not reviewed this phase - site identity only (Phase 35). Left at DISCOVERED, not upgraded.","pbcpao.gov (disclaimer page fetch failed, HTTP 500, this phase)",2026-09-15
fl_property_appraiser__county__duval,Duval County Property Appraiser,"Duval County, Florida",FL,Duval,paopropertysearch.coj.net,"coj.net/Departments/Property-Appraiser/Site-Policy.aspx (linked, not fetched)",UNKNOWN,OFFICIAL_PUBLIC_SEARCH,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Homepage warns values 'should not be used for any financial or business calculations' and 'use of this online database is at your own risk' - directly on point for a commercial investment-analysis product; full Site Policy page not fetched this phase.,LEGAL_REVIEW_REQUIRED,No affirmative commercial/automated-access permission found; no upgrade from government-website status alone (Section 7's explicit rule).,"coj.net/Departments/Property-Appraiser/Site-Policy.aspx (linked, not fetched)",2026-09-15
