state,county,source_id,source_name,category,acquisition_mechanism,adapter_implemented,discovery_status,verification_status,technical_status,technical_testing_permitted,authorization_status,production_status,records_seen,records_acquired,coverage_percentage,last_success,failure_reason,notes
TX,Anderson,,,,NONE,NO,NOT_FOUND,UNVERIFIED,DISCOVERED,NO,UNKNOWN,NOT_ENABLED,0,0,,,NO_SOURCE_IDENTIFIED,no promotable source named for this county in the Phase 33/35 coverage matrix
TX,Andrews,,,,NONE,NO,NOT_FOUND,UNVERIFIED,DISCOVERED,NO,UNKNOWN,NOT_ENABLED,0,0,,,NO_SOURCE_IDENTIFIED,no promotable source named for this county in the Phase 33/35 coverage matrix
TX,Angelina,tx_realauction,Texas RealAuction/RealForeclose county sites (sheriffsaleauctions.com / realforeclose.com),AUCTION|AUCTION_DATE|OPENING_BID|CASE_NUMBER,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,APPROVED,ENABLED,0,0,,,,
TX,Aransas,tx_realauction,Texas RealAuction/RealForeclose county sites (sheriffsaleauctions.com / realforeclose.com),AUCTION|AUCTION_DATE|OPENING_BID|CASE_NUMBER,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,APPROVED,ENABLED,0,0,,,,
TX,Archer,,,,NONE,NO,NOT_FOUND,UNVERIFIED,DISCOVERED,NO,UNKNOWN,NOT_ENABLED,0,0,,,NO_SOURCE_IDENTIFIED,no promotable source named for this county in the Phase 33/35 coverage matrix
TX,Armstrong,,,,NONE,NO,NOT_FOUND,UNVERIFIED,DISCOVERED,NO,UNKNOWN,NOT_ENABLED,0,0,,,NO_SOURCE_IDENTIFIED,no promotable source named for this county in the Phase 33/35 coverage matrix
TX,Atascosa,tx_realauction,Texas RealAuction/RealForeclose county sites (sheriffsaleauctions.com / realforeclose.com),AUCTION|AUCTION_DATE|OPENING_BID|CASE_NUMBER,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,APPROVED,ENABLED,0,0,,,,
TX,Austin,,,,NONE,NO,NOT_FOUND,UNVERIFIED,DISCOVERED,NO,UNKNOWN,NOT_ENABLED,0,0,,,NO_SOURCE_IDENTIFIED,no promotable source named for this county in the Phase 33/35 coverage matrix
TX,Bailey,,,,NONE,NO,NOT_FOUND,UNVERIFIED,DISCOVERED,NO,UNKNOWN,NOT_ENABLED,0,0,,,NO_SOURCE_IDENTIFIED,no promotable source named for this county in the Phase 33/35 coverage matrix
TX,Bandera,,,,NONE,NO,NOT_FOUND,UNVERIFIED,DISCOVERED,NO,UNKNOWN,NOT_ENABLED,0,0,,,NO_SOURCE_IDENTIFIED,no promotable source named for this county in the Phase 33/35 coverage matrix
