state,county,source_id,records_observed,first_observed_at,last_observed_at,measurement_method,sale_statuses_observed,notes
TX,Anderson,tx_lgbs,1,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Angelina,tx_lgbs,32,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Aransas,tx_lgbs,6,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Atascosa,tx_lgbs,74,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Bee,tx_lgbs,4,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Bexar,tx_lgbs,70,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Bosque,tx_lgbs,18,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Brooks,tx_lgbs,6,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Caldwell,tx_lgbs,4,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Cameron,tx_lgbs,74,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Camp,tx_lgbs,1,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Cass,tx_lgbs,43,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Cherokee,tx_lgbs,10,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Collin,tx_lgbs,1,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Concho,tx_lgbs,9,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Dallas,tx_lgbs,539,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Delta,tx_lgbs,2,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,DeWitt,tx_lgbs,3,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Duval,tx_lgbs,19,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Ector,tx_lgbs,48,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,El Paso,tx_lgbs,41,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Ellis,tx_lgbs,8,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Erath,tx_lgbs,2,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Falls,tx_lgbs,11,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Fannin,tx_lgbs,6,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Fort Bend,tx_lgbs,11,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Franklin,tx_lgbs,2,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Frio,tx_lgbs,12,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Galveston,tx_lgbs,176,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Goliad,tx_lgbs,1,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Gonzales,tx_lgbs,13,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Gregg,tx_lgbs,35,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Hamilton,tx_lgbs,7,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Hardin,tx_lgbs,9,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Harris,tx_lgbs,405,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Hays,tx_lgbs,10,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Henderson,tx_lgbs,13,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Hidalgo,tx_lgbs,58,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Hopkins,tx_lgbs,1,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Houston,tx_lgbs,3,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Hunt,tx_lgbs,66,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
TX,Jackson,tx_lgbs,17,2026-09-16,2026-09-16,exact_api_count_filtered_query,,
